"","domain","BA_hat","BA","model","sample_size"
"1","M333Aa",86.0061194319604,79.4154082554791,"rf",30
"2","M333Ab",122.712811363585,112.523482757723,"rf",30
"3","M333Ac",76.4290238317966,72.0588242700207,"rf",30
"4","M333Ad",117.692571032438,117.470592984026,"rf",30
"5","M333Ae",75.8301081486984,68.4801681671984,"rf",30
"6","M333Ag",84.0683881382359,81.2086165291663,"rf",30
"7","M333Ah",42.3674083337387,37.3880839806109,"rf",30
"8","M333Ai",47.198079968173,37.3465107555587,"rf",30
"9","M333Aa",85.9257665729574,79.4154082554791,"rf",30
"10","M333Ab",126.896410642623,112.523482757723,"rf",30
"11","M333Ac",75.3009382555956,72.0588242700207,"rf",30
"12","M333Ad",126.126657106965,117.470592984026,"rf",30
"13","M333Ae",72.9255538434783,68.4801681671984,"rf",30
"14","M333Ag",84.2419829298564,81.2086165291663,"rf",30
"15","M333Ah",37.1496691840121,37.3880839806109,"rf",30
"16","M333Ai",41.445556950845,37.3465107555587,"rf",30
"17","M333Aa",82.6592975712972,79.4154082554791,"rf",30
"18","M333Ab",117.522297821861,112.523482757723,"rf",30
"19","M333Ac",79.943663024183,72.0588242700207,"rf",30
"20","M333Ad",118.268171499835,117.470592984026,"rf",30
"21","M333Ae",74.9183560828516,68.4801681671984,"rf",30
"22","M333Ag",82.3185153190312,81.2086165291663,"rf",30
"23","M333Ah",43.0915063299658,37.3880839806109,"rf",30
"24","M333Ai",44.1746335620213,37.3465107555587,"rf",30
"25","M333Aa",76.153324479887,79.4154082554791,"rf",30
"26","M333Ab",102.782736941297,112.523482757723,"rf",30
"27","M333Ac",70.688750997408,72.0588242700207,"rf",30
"28","M333Ad",107.994768059596,117.470592984026,"rf",30
"29","M333Ae",66.9076182736193,68.4801681671984,"rf",30
"30","M333Ag",76.1846685597346,81.2086165291663,"rf",30
"31","M333Ah",34.9987390478761,37.3880839806109,"rf",30
"32","M333Ai",38.8274698564363,37.3465107555587,"rf",30
"33","M333Aa",81.8474435704671,79.4154082554791,"rf",30
"34","M333Ab",113.616097682137,112.523482757723,"rf",30
"35","M333Ac",77.9042644951894,72.0588242700207,"rf",30
"36","M333Ad",120.41397132793,117.470592984026,"rf",30
"37","M333Ae",71.2291822562723,68.4801681671984,"rf",30
"38","M333Ag",80.0312154100914,81.2086165291663,"rf",30
"39","M333Ah",36.2352187956035,37.3880839806109,"rf",30
"40","M333Ai",39.7942054320342,37.3465107555587,"rf",30
"41","M333Aa",82.0353137373537,79.4154082554791,"rf",30
"42","M333Ab",105.707907292705,112.523482757723,"rf",30
"43","M333Ac",80.8353795653448,72.0588242700207,"rf",30
"44","M333Ad",118.239351623914,117.470592984026,"rf",30
"45","M333Ae",74.1917380177957,68.4801681671984,"rf",30
"46","M333Ag",83.1463319752135,81.2086165291663,"rf",30
"47","M333Ah",44.6075119299654,37.3880839806109,"rf",30
"48","M333Ai",46.4166140014653,37.3465107555587,"rf",30
"49","M333Aa",78.1160317123122,79.4154082554791,"rf",30
"50","M333Ab",107.165712972145,112.523482757723,"rf",30
"51","M333Ac",71.5974776762523,72.0588242700207,"rf",30
"52","M333Ad",112.141258606236,117.470592984026,"rf",30
"53","M333Ae",67.129250529838,68.4801681671984,"rf",30
"54","M333Ag",75.3292251601358,81.2086165291663,"rf",30
"55","M333Ah",34.4944258621215,37.3880839806109,"rf",30
"56","M333Ai",36.9250290552759,37.3465107555587,"rf",30
"57","M333Aa",84.9442227481375,79.4154082554791,"rf",30
"58","M333Ab",116.473026995762,112.523482757723,"rf",30
"59","M333Ac",81.2664707950459,72.0588242700207,"rf",30
"60","M333Ad",121.256509456738,117.470592984026,"rf",30
"61","M333Ae",76.1027271557552,68.4801681671984,"rf",30
"62","M333Ag",84.5745280170385,81.2086165291663,"rf",30
"63","M333Ah",41.7440850572581,37.3880839806109,"rf",30
"64","M333Ai",44.6090357355307,37.3465107555587,"rf",30
"65","M333Aa",79.2106273159428,79.4154082554791,"rf",30
"66","M333Ab",108.490376503913,112.523482757723,"rf",30
"67","M333Ac",75.1719200492085,72.0588242700207,"rf",30
"68","M333Ad",115.536757081682,117.470592984026,"rf",30
"69","M333Ae",68.6052072414756,68.4801681671984,"rf",30
"70","M333Ag",76.5580463117349,81.2086165291663,"rf",30
"71","M333Ah",33.3354381470281,37.3880839806109,"rf",30
"72","M333Ai",38.3416881753364,37.3465107555587,"rf",30
"73","M333Aa",78.9852303227386,79.4154082554791,"rf",30
"74","M333Ab",109.099473424878,112.523482757723,"rf",30
"75","M333Ac",72.1581491383606,72.0588242700207,"rf",30
"76","M333Ad",112.53547653864,117.470592984026,"rf",30
"77","M333Ae",68.3863300065657,68.4801681671984,"rf",30
"78","M333Ag",77.7465272363688,81.2086165291663,"rf",30
"79","M333Ah",36.0825235541606,37.3880839806109,"rf",30
"80","M333Ai",40.6232260675652,37.3465107555587,"rf",30
"81","M333Aa",85.5379589655033,79.4154082554791,"rf",30
"82","M333Ab",122.2317312236,112.523482757723,"rf",30
"83","M333Ac",77.1516563660206,72.0588242700207,"rf",30
"84","M333Ad",122.075274859498,117.470592984026,"rf",30
"85","M333Ae",73.3128365749231,68.4801681671984,"rf",30
