"","domain","BA_hat","BA","sample_size","model"
"1","A",46.3926961122657,45.5597646993401,"8","ps"
"2","A",47.8386946914181,45.5597646993401,"8","ps"
"3","A",43.2538404841203,45.5597646993401,"8","ps"
"4","A",44.5646068674068,45.5597646993401,"8","ps"
"5","A",45.6377371452967,45.5597646993401,"8","ps"
"6","A",42.5169979555104,45.5597646993401,"8","ps"
"7","A",42.4693251603204,45.5597646993401,"8","ps"
"8","A",47.1904200298239,45.5597646993401,"8","ps"
"9","A",48.04171411637,45.5597646993401,"8","ps"
"10","A",46.0379578830451,45.5597646993401,"8","ps"
"11","A",46.3989394717621,45.5597646993401,"8","ps"
"12","A",45.3315184780335,45.5597646993401,"8","ps"
"13","A",44.3925497236662,45.5597646993401,"8","ps"
"14","A",46.0287462131,45.5597646993401,"8","ps"
"15","A",41.7427872799602,45.5597646993401,"8","ps"
"16","A",45.6818593800699,45.5597646993401,"8","ps"
"17","A",44.5851593070597,45.5597646993401,"8","ps"
"18","A",43.3165409086813,45.5597646993401,"8","ps"
"19","A",45.5011253865396,45.5597646993401,"8","ps"
"20","A",43.0321399880016,45.5597646993401,"8","ps"
"21","A",43.3252460578569,45.5597646993401,"8","ps"
"22","A",45.9331959998766,45.5597646993401,"8","ps"
"23","A",44.9758408473594,45.5597646993401,"8","ps"
"24","A",44.9926492448093,45.5597646993401,"8","ps"
"25","A",41.4461521875207,45.5597646993401,"8","ps"
"26","A",48.0557052900594,45.5597646993401,"8","ps"
"27","A",41.4382942170244,45.5597646993401,"8","ps"
"28","A",46.0340960805678,45.5597646993401,"8","ps"
"29","A",47.2818854709682,45.5597646993401,"8","ps"
"30","A",43.6431138158794,45.5597646993401,"8","ps"
"31","A",44.4437078871969,45.5597646993401,"8","ps"
"32","A",46.1157459110996,45.5597646993401,"8","ps"
"33","A",44.7893101730741,45.5597646993401,"8","ps"
"34","A",44.7068766762576,45.5597646993401,"8","ps"
"35","A",46.1732124655064,45.5597646993401,"8","ps"
"36","A",44.71577023183,45.5597646993401,"8","ps"
"37","A",50.7130375869174,45.5597646993401,"8","ps"
"38","A",46.1008430165238,45.5597646993401,"8","ps"
"39","A",45.1675904374889,45.5597646993401,"8","ps"
"40","A",42.2138778220682,45.5597646993401,"8","ps"
"41","A",46.2024855193582,45.5597646993401,"8","ps"
"42","A",44.8607304091373,45.5597646993401,"8","ps"
"43","A",45.2216320682607,45.5597646993401,"8","ps"
"44","A",44.3116006299288,45.5597646993401,"8","ps"
"45","A",44.5497184343172,45.5597646993401,"8","ps"
"46","A",45.1670161676551,45.5597646993401,"8","ps"
"47","A",46.5531749840522,45.5597646993401,"8","ps"
"48","A",44.2049388216632,45.5597646993401,"8","ps"
"49","A",42.9957537500203,45.5597646993401,"8","ps"
"50","A",48.0082728538001,45.5597646993401,"8","ps"
"51","A",50.0993230773326,45.5597646993401,"8","ps"
"52","A",46.5980435170635,45.5597646993401,"8","ps"
"53","A",47.3158675715344,45.5597646993401,"8","ps"
"54","A",43.1939643506012,45.5597646993401,"8","ps"
"55","A",45.8778575751977,45.5597646993401,"8","ps"
"56","A",47.8612661979491,45.5597646993401,"8","ps"
"57","A",44.6222651635664,45.5597646993401,"8","ps"
"58","A",41.6009473629617,45.5597646993401,"8","ps"
"59","A",47.9022445421778,45.5597646993401,"8","ps"
"60","A",42.7351121244689,45.5597646993401,"8","ps"
"61","A",49.3029296599741,45.5597646993401,"8","ps"
"62","A",44.5911887901193,45.5597646993401,"8","ps"
"63","A",43.4237850838436,45.5597646993401,"8","ps"
"64","A",42.9819049016979,45.5597646993401,"8","ps"
"65","A",44.656903631977,45.5597646993401,"8","ps"
"66","A",47.1548458601051,45.5597646993401,"8","ps"
"67","A",46.1115216117818,45.5597646993401,"8","ps"
"68","A",46.5332119669609,45.5597646993401,"8","ps"
"69","A",44.020285141995,45.5597646993401,"8","ps"
"70","A",44.290653360216,45.5597646993401,"8","ps"
"71","A",45.428562885496,45.5597646993401,"8","ps"
"72","A",46.8007012651758,45.5597646993401,"8","ps"
